timestamp,temperatura_c,umidade_relativa,prob_precipitacao
2026-04-22T00:00,16.2,87,0
2026-04-22T01:00,15.8,88,0
2026-04-22T02:00,15.4,91,0
2026-04-22T03:00,15.5,91,0
2026-04-22T04:00,15.3,92,0
2026-04-22T05:00,15.3,93,0
2026-04-22T06:00,15.1,93,0
2026-04-22T07:00,14.9,94,0
2026-04-22T08:00,16.3,88,0
2026-04-22T09:00,18.3,76,0
2026-04-22T10:00,20.5,65,0
2026-04-22T11:00,22.5,56,0
2026-04-22T12:00,24.0,51,0
2026-04-22T13:00,25.2,46,0
2026-04-22T14:00,25.9,43,0
2026-04-22T15:00,26.2,40,0
2026-04-22T16:00,25.9,41,0
2026-04-22T17:00,25.0,48,0
2026-04-22T18:00,22.5,67,0
2026-04-22T19:00,19.9,80,0
2026-04-22T20:00,18.6,86,0
2026-04-22T21:00,17.8,87,0
2026-04-22T22:00,17.3,87,0
2026-04-22T23:00,16.8,88,0
2026-04-23T00:00,16.5,87,0
2026-04-23T01:00,16.1,88,0
2026-04-23T02:00,15.7,91,0
2026-04-23T03:00,15.5,93,0
2026-04-23T04:00,15.4,93,0
2026-04-23T05:00,15.3,94,0
2026-04-23T06:00,15.0,94,0
2026-04-23T07:00,14.9,95,0
2026-04-23T08:00,16.5,88,0
2026-04-23T09:00,18.5,76,0
2026-04-23T10:00,20.6,69,0
2026-04-23T11:00,22.5,64,0
2026-04-23T12:00,24.0,58,0
2026-04-23T13:00,25.2,50,0
2026-04-23T14:00,25.9,47,0
2026-04-23T15:00,26.0,45,0
2026-04-23T16:00,25.2,52,0
2026-04-23T17:00,23.5,61,0
2026-04-23T18:00,21.1,68,0
2026-04-23T19:00,19.4,75,0
2026-04-23T20:00,18.1,83,0
2026-04-23T21:00,17.2,87,0
2026-04-23T22:00,16.8,88,0
2026-04-23T23:00,16.7,90,0
2026-04-24T00:00,16.7,92,0
2026-04-24T01:00,16.7,93,0
2026-04-24T02:00,16.7,94,0
2026-04-24T03:00,16.6,95,0
2026-04-24T04:00,16.4,93,0
2026-04-24T05:00,16.2,91,0
2026-04-24T06:00,16.1,91,0
2026-04-24T07:00,16.0,92,0
2026-04-24T08:00,17.0,88,0
2026-04-24T09:00,18.7,80,0
2026-04-24T10:00,20.9,71,0
2026-04-24T11:00,23.1,64,0
2026-04-24T12:00,25.0,56,0
2026-04-24T13:00,26.5,47,0
2026-04-24T14:00,27.2,42,0
2026-04-24T15:00,27.3,41,0
2026-04-24T16:00,26.9,41,0
2026-04-24T17:00,26.0,44,0
2026-04-24T18:00,24.3,55,0
2026-04-24T19:00,22.4,67,0
2026-04-24T20:00,20.4,89,0
2026-04-24T21:00,19.7,91,0
2026-04-24T22:00,19.1,92,0
2026-04-24T23:00,18.4,95,0
2026-04-25T00:00,17.5,100,0
2026-04-25T01:00,17.0,100,0
2026-04-25T02:00,16.1,100,0
2026-04-25T03:00,16.0,100,0
2026-04-25T04:00,16.2,100,0
2026-04-25T05:00,16.0,100,0
2026-04-25T06:00,16.0,100,0
2026-04-25T07:00,15.9,100,0
2026-04-25T08:00,17.4,93,0
2026-04-25T09:00,20.9,75,0
2026-04-25T10:00,23.1,63,0
2026-04-25T11:00,25.6,50,0
2026-04-25T12:00,27.4,41,0
2026-04-25T13:00,28.3,37,0
2026-04-25T14:00,28.5,37,0
2026-04-25T15:00,28.2,39,0
2026-04-25T16:00,27.5,42,0
2026-04-25T17:00,26.3,47,0
2026-04-25T18:00,25.1,52,0
2026-04-25T19:00,24.2,57,0
2026-04-25T20:00,23.2,61,0
2026-04-25T21:00,22.3,66,0
2026-04-25T22:00,21.2,71,0
2026-04-25T23:00,20.0,76,0
2026-04-26T00:00,19.0,80,0
2026-04-26T01:00,18.4,82,0
2026-04-26T02:00,18.0,83,0
2026-04-26T03:00,17.6,84,0
2026-04-26T04:00,16.9,86,0
2026-04-26T05:00,16.3,87,0
2026-04-26T06:00,16.6,86,0
2026-04-26T07:00,18.3,80,0
2026-04-26T08:00,20.8,70,0
2026-04-26T09:00,23.2,61,0
2026-04-26T10:00,25.2,53,0
2026-04-26T11:00,27.1,45,1
2026-04-26T12:00,28.4,39,1
2026-04-26T13:00,29.2,36,2
2026-04-26T14:00,29.5,35,2
2026-04-26T15:00,29.4,36,3
2026-04-26T16:00,28.7,38,4
2026-04-26T17:00,27.5,41,5
2026-04-26T18:00,26.2,48,6
2026-04-26T19:00,24.4,61,7
2026-04-26T20:00,22.5,76,7
2026-04-26T21:00,21.1,88,8
2026-04-26T22:00,20.6,92,8
2026-04-26T23:00,20.6,92,9
2026-04-27T00:00,20.6,91,9
2026-04-27T01:00,20.5,92,9
2026-04-27T02:00,20.4,92,9
2026-04-27T03:00,20.3,92,9
2026-04-27T04:00,19.0,100,9
2026-04-27T05:00,18.9,100,10
2026-04-27T06:00,19.1,98,10
2026-04-27T07:00,19.5,95,11
2026-04-27T08:00,20.2,91,12
2026-04-27T09:00,21.0,87,13
2026-04-27T10:00,22.0,81,15
2026-04-27T11:00,23.0,74,17
2026-04-27T12:00,23.6,70,20
2026-04-27T13:00,23.2,72,24
2026-04-27T14:00,22.2,77,27
2026-04-27T15:00,21.3,81,31
2026-04-27T16:00,20.5,84,34
2026-04-27T17:00,19.8,86,37
2026-04-27T18:00,19.3,88,39
2026-04-27T19:00,19.0,90,41
2026-04-27T20:00,18.9,91,43
2026-04-27T21:00,18.9,92,43
2026-04-27T22:00,18.7,92,42
2026-04-27T23:00,18.6,91,40
2026-04-28T00:00,18.5,91,38
2026-04-28T01:00,18.5,91,34
2026-04-28T02:00,18.5,91,30
2026-04-28T03:00,18.4,91,26
2026-04-28T04:00,18.3,91,22
2026-04-28T05:00,18.2,92,18
2026-04-28T06:00,18.2,92,15
2026-04-28T07:00,18.2,92,12
2026-04-28T08:00,18.2,92,9
2026-04-28T09:00,18.3,92,8
2026-04-28T10:00,18.6,91,8
2026-04-28T11:00,19.0,89,8
2026-04-28T12:00,19.5,86,10
2026-04-28T13:00,20.3,82,11
2026-04-28T14:00,21.2,77,14
2026-04-28T15:00,21.7,75,16
2026-04-28T16:00,21.4,77,18
2026-04-28T17:00,20.6,81,21
2026-04-28T18:00,19.8,85,22
2026-04-28T19:00,19.2,89,24
2026-04-28T20:00,18.5,92,25
2026-04-28T21:00,18.1,94,25
2026-04-28T22:00,18.1,94,24
2026-04-28T23:00,18.4,92,23
